Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,Locked,Source_ID
612,ced,dasuhwisga,ᏓᏑᏫᏍᎦ,verb (v.i.),,,it’s barking,,dàsụhwị́sga,1st person singular with animate/ inanimate object:degasuhwisga^ᏕᎦᏑᏫᏍᎦ^degâsụhwị́sga|3rd person singular non-progressive remote past tense:dusuhwisv’i^ᏚᏑᏫᏒᎢ^dùsụhwịsv̌’i|3rd person singular present habitual:dasuhwisgo’i^ᏓᏑᏫᏍᎪᎢ^dàsụhwịsgó’i|imperative with animate/ inanimate direct objects:tasuhwa^ᏔᏑᏩ^tạsụ́hwa|3rd person singular infinitive:jusuhwisdi^ᏧᏑᏫᏍᏗ^jusụhwịsdi,,False,621.1
613,ced,dasvsdiha,ᏓᏒᏍᏗᎭ,verb (v.t.),,,he/she is scheduling a time,,dàsvsdị́ha,1st person singular with animate/ inanimate object:dejisvsdiha^ᏕᏥᏒᏍᏗᎭ^dejîsvsdị́ha|3rd person singular non-progressive remote past tense:dusvstanv’i^ᏚᏒᏍᏔᏅᎢ^dùsvstạ́nv́’i|3rd person singular present habitual:dasvsdisgo’i^ᏓᏒᏍᏗᏍᎪᎢ^dàsvsdǐsgọ́’i|imperative with animate/ inanimate direct objects:tisvsda^ᏘᏒᏍᏓ^tịsv́sda|3rd person singular infinitive:jusvsdohdi^ᏧᏒᏍᏙᏗ^jusvsdọ́hdi,,False,622.1
614,ced,datesga,ᏓᏖᏍᎦ,verb (v.t.),,,he/she is ironing,,dàtěsga,1st person singular with animate/ inanimate object:dejitesga^ᏕᏥᏖᏍᎦ^dejîtěsga|3rd person singular non-progressive remote past tense:dutesv’i^ᏚᏖᏒᎢ^dùtěsv́’i|3rd person singular present habitual:datesgo’i^ᏓᏖᏍᎪᎢ^dàtěsgọ́’i|imperative with animate/ inanimate direct objects:titvla^ᏘᏛᎳ^tịtv́la|3rd person singular infinitive:jutesdi^ᏧᏖᏍᏗ^jutěsdi,,False,623.1
615,ced,dawisgala,ᏓᏫᏍᎦᎳ,noun,,,flint,,dạwǐsgạ́la,,,False,624.1
616,ced,dawisgvhi,ᏓᏫᏍᎬᎯ,adjective,,,slippery,,dạwisgv̋hi,,,False,625.1
617,ced,dawoli,ᏓᏬᎵ,noun,,,mushroom,,dạwóli,,,False,626.1
618,ced,dawoliyusdi,ᏓᏬᎵᏳᏍᏗ,noun,,,cork,,dạwólịyűsdi,,,False,627.1
619,ced,dayosga,ᏓᏲᏍᎦ,verb (v.t.),,,he/she is releasing him/her,,dàyọ́sga,1st person singular with animate/ inanimate object:dejiyosga^ᏕᏥᏲᏍᎦ^dejíyọ́sga|3rd person singular non-progressive remote past tense:duyosv’i^ᏚᏲᏒᎢ^dùyọ́sv̌’i|3rd person singular present habitual:dayosgo’i^ᏓᏲᏍᎪᎢ^dàyọ́sgó’i|imperative with animate/ inanimate direct objects:tiyohi^ᏘᏲᎯ^tíyọhi|3rd person singular infinitive:juyohisdi^ᏧᏲᎯᏍᏗ^juyọ́hị́sdi,,False,628.1
620,ced,degahldi,ᏕᎦᎵᏗ,noun,,,sack,,dégạhldi,,,False,630.1
621,ced,degalvdvnisdiha,ᏕᎦᎸᏛᏂᏍᏗᎭ,verb (v.t.),,,he/she is slamming him/her,,degạ́lvdv̌nîsdịha,1st person singular with animate object:dejilvdvnisdiha^ᏕᏥᎸᏛᏂᏍᏗᎭ^dejílvdv̌nîsdịha|1st person singular with inanimate object:dejilvdvnisdiha^ᏕᏥᎸᏛᏂᏍᏗᎭ^dejị́lvdv̌nîsdịha|3rd person singular non-progressive remote past tense:dulvdvnistanv’i^ᏚᎸᏛᏂᏍᏔᏅᎢ^dùlvdv̌nîstạnv̌’i|3rd person singular present habitual:degalvdvnisdisgo’i^ᏕᎦᎸᏛᏂᏍᏗᏍᎪᎢ^degạ́lvdv̌nîsdisgó’i|imperative with animate direct objects:tilvdvnisda^ᏘᎸᏛᏂᏍᏓ^tilv́dvnìsda|imperative with animate/ inanimate direct objects:tilvdvnisda^ᏘᎸᏛᏂᏍᏓ^tịlv́dvnìsda|3rd person singular infinitive:julvdvnisdohdi^ᏧᎸᏛᏂᏍᏙᏗ^julvdv̌nîsdọhdi,,False,631.1
